Time,ECG Lead1,ECG Lead2,ECG Lead 3,BP1,Heart Beat,Temp 
638,0.303341902,0.190397351,1.520963426,-0.434362934,-0.077056885,98.58077545
640,0.317052271,0.193708609,1.518287244,-0.530888031,0.304962158,98.57935663
642,0.329048843,0.203642384,1.512042819,-0.434362934,0.262054443,98.58204116
644,0.30848329,0.209437086,1.520963426,-0.482625483,0.22277832,98.58488478
646,0.319622965,0.21192053,1.529884032,-0.434362934,0.09753418,98.58017397
648,0.327335047,0.223509934,1.528099911,-0.386100386,-0.044311523,98.57569838
650,0.311910883,0.229304636,1.533452275,-0.434362934,-0.116210938,98.57393257
652,0.316195373,0.230960265,1.548617306,-0.386100386,-0.09085083,98.57692943
654,0.325621251,0.230960265,1.535236396,-0.386100386,-0.022369385,98.57823173
656,0.306769494,0.226821192,1.54058876,-0.482625483,0.027832031,98.58305971
658,0.321336761,0.235099338,1.546833185,-0.386100386,0.030212402,98.5796422
660,0.325621251,0.237582781,1.542372881,-0.386100386,-0.00100708,98.58080897
662,0.306769494,0.232615894,1.546833185,-0.434362934,-0.030883789,98.57889614
664,0.305055698,0.225993377,1.547725245,-0.434362934,-0.039367676,98.57474692
666,0.323050557,0.237582781,1.539696699,-0.434362934,-0.019897461,98.57851522
668,0.297343616,0.228476821,1.538804639,-0.434362934,0.007049561,98.57942223
670,0.293916024,0.226821192,1.543264942,-0.482625483,0.021057129,98.57745347
672,0.315338475,0.239238411,1.532560214,-0.530888031,0.022125244,98.57413417
674,0.296486718,0.238410596,1.538804639,-0.482625483,0.012084961,98.57253293
676,0.29991431,0.243377483,1.536128457,-0.579150579,0.006866455,98.5682074
678,0.306769494,0.245033113,1.525423729,-0.482625483,0.008575439,98.56974229
680,0.29562982,0.246688742,1.520963426,-0.627413127,0.012268066,98.56718515
682,0.293059126,0.241721854,1.528099911,-0.530888031,0.010925293,98.56976433
684,0.3041988,0.251655629,1.51293488,-0.579150579,0.003997803,98.56775447
